3, urn:aim:sr2FjK3UfoxTJ81F:1, Textile, Leather, Clothing and Footwear Manufacturing, 13, urn:aim:xLCh7CRtoA4C53VL:1, Leather Tanning, Fur Dressing and Leather Product Manufacturing, 132
3, urn:aim:sr2FjK3UfoxTJ81F:1, Textile, Leather, Clothing and Footwear Manufacturing, 13, urn:aim:yNWT0sqtfPLCC1JW:1, Textile Product Manufacturing, 133
3, urn:aim:sr2FjK3UfoxTJ81F:1, Textile, Leather, Clothing and Footwear Manufacturing, 13, urn:aim:aU7099Feh4jJ1UqF:1, Knitted Product Manufacturing, 134
3, urn:aim:sr2FjK3UfoxTJ81F:1, Textile, Leather, Clothing and Footwear Manufacturing, 13, urn:aim:DL0wib426mls91NA:1, Clothing and Footwear Manufacturing, 135
3, urn:aim:iK1oG9L3IMme3oQW:1, Wood Product Manufacturing, 14, urn:aim:F9o4XZolbihrmUDJ:1, Log Sawmilling and Timber Dressing, 141
3, urn:aim:iK1oG9L3IMme3oQW:1, Wood Product Manufacturing, 14, urn:aim:S4ihpUt7urUSPBbF:1, Other Wood Product Manufacturing, 149
3, urn:aim:kNF4EYkGJGHYfXjV:1, Pulp, Paper and Converted Paper Product Manufacturing, 15, urn:aim:hRzxYrrk1N6AgeAC:1, Pulp, Paper and Paperboard Manufacturing, 151
3, urn:aim:kNF4EYkGJGHYfXjV:1, Pulp, Paper and Converted Paper Product Manufacturing, 15, urn:aim:LPx6cOw2Ro0BZiCJ:1, Converted Paper Product Manufacturing, 152
3, urn:aim:g9NsbW6IEDKyrTkX:1, Printing (including the Reproduction of Recorded Media), 16, urn:aim:DqHvm3eZHaQWCvBJ:1, Printing and Printing Support Services, 161
3, urn:aim:g9NsbW6IEDKyrTkX:1, Printing (including the Reproduction of Recorded Media), 16, urn:aim:PaXOFME6PWXrwvnA:1, Reproduction of Recorded Media, 162
3, urn:aim:LXJ40PniBmRLOqzV:1, Petroleum and Coal Product Manufacturing, 17, urn:aim:FtjaOI4u8TULLCeC:1, Petroleum and Coal Product Manufacturing, 170
3, urn:aim:tERj2VcHIyBiGBbC:1, Basic Chemical and Chemical Product Manufacturing, 18, urn:aim:edDgUXZaz0TFcRBR:1, Basic Chemical Manufacturing, 181
3, urn:aim:tERj2VcHIyBiGBbC:1, Basic Chemical and Chemical Product Manufacturing, 18, urn:aim:U7j0UW88N9hoCUHA:1, Basic Polymer Manufacturing, 182
3, urn:aim:tERj2VcHIyBiGBbC:1, Basic Chemical and Chemical Product Manufacturing, 18, urn:aim:q52QyygGIIHKHTvT:1, Fertiliser and Pesticide Manufacturing, 183
3, urn:aim:tERj2VcHIyBiGBbC:1, Basic Chemical and Chemical Product Manufacturing, 18, urn:aim:TF6sPKa8JbnTiy3L:1, Pharmaceutical and Medicinal Product Manufacturing, 184
3, urn:aim:tERj2VcHIyBiGBbC:1, Basic Chemical and Chemical Product Manufacturing, 18, urn:aim:qI1zK19gtwWdfhlJ:1, Cleaning Compound and Toiletry Preparation Manufacturing, 185
3, urn:aim:tERj2VcHIyBiGBbC:1, Basic Chemical and Chemical Product Manufacturing, 18, urn:aim:FKYuB2GxnYyx5nrW:1, Other Basic Chemical Product Manufacturing, 189
3, urn:aim:k2olh8DxJtyNHg1A:1, Polymer Product and Rubber Product Manufacturing, 19, urn:aim:UmTIF4ItVssSNajK:1, Polymer Product Manufacturing, 191
3, urn:aim:k2olh8DxJtyNHg1A:1, Polymer Product and Rubber Product Manufacturing, 19, urn:aim:RSjYwSZVyckuqsEV:1, Natural Rubber Product Manufacturing, 192
3, urn:aim:W6dYuCRWlk2d2pQJ:1, Non-Metallic Mineral Product Manufacturing, 20, urn:aim:S7Vtdk5sDVzFrNuT:1, Glass and Glass Product Manufacturing, 201
3, urn:aim:W6dYuCRWlk2d2pQJ:1, Non-Metallic Mineral Product Manufacturing, 20, urn:aim:ECg5Ka8h4aNru01F:1, Ceramic Product Manufacturing, 202
3, urn:aim:W6dYuCRWlk2d2pQJ:1, Non-Metallic Mineral Product Manufacturing, 20, urn:aim:BllWnHVpRY6TDJhX:1, Cement, Lime, Plaster and Concrete Product Manufacturing, 203
3, urn:aim:W6dYuCRWlk2d2pQJ:1, Non-Metallic Mineral Product Manufacturing, 20, urn:aim:bctCMCsKORRpt8OA:1, Other Non-Metallic Mineral Product Manufacturing, 209
3, urn:aim:u4QxVMWK4kvJFCML:1, Primary Metal and Metal Product Manufacturing, 21, urn:aim:uYzeQ0JcRfGojMJL:1, Basic Ferrous Metal Manufacturing, 211
3, urn:aim:u4QxVMWK4kvJFCML:1, Primary Metal and Metal Product Manufacturing, 21, urn:aim:svz2CXYbgQKC4g2F:1, Basic Ferrous Metal Product Manufacturing, 212
3, urn:aim:u4QxVMWK4kvJFCML:1, Primary Metal and Metal Product Manufacturing, 21, urn:aim:nKSFMVXqh5dux7VR:1, Basic Non-Ferrous Metal Manufacturing, 213
3, urn:aim:u4QxVMWK4kvJFCML:1, Primary Metal and Metal Product Manufacturing, 21, urn:aim:QaIEMNaZj7NtV8XV:1, Basic Non-Ferrous Metal Product Manufacturing, 214
3, urn:aim:aMuenKdt7uOCVrhL:1, Fabricated Metal Product Manufacturing, 22, urn:aim:WvU07TReYg1byUJT:1, Iron and Steel Forging, 221
3, urn:aim:aMuenKdt7uOCVrhL:1, Fabricated Metal Product Manufacturing, 22, urn:aim:dnB8gIEgG55YHrrR:1, Structural Metal Product Manufacturing, 222
3, urn:aim:aMuenKdt7uOCVrhL:1, Fabricated Metal Product Manufacturing, 22, urn:aim:sXpIUezCI7TyDOrK:1, Metal Container Manufacturing, 223
3, urn:aim:aMuenKdt7uOCVrhL:1, Fabricated Metal Product Manufacturing, 22, urn:aim:v8oDkN2OLPhYayWK:1, Sheet Metal Product Manufacturing (except Metal Structural and ContainerProducts), 224
3, urn:aim:aMuenKdt7uOCVrhL:1, Fabricated Metal Product Manufacturing, 22, urn:aim:TPWI7wSiWXmUYhFW:1, Other Fabricated Metal Product Manufacturing, 229
3, urn:aim:K7EPH2BG1bFdEciC:1, Transport Equipment Manufacturing, 23, urn:aim:kBi7PEQ01TYTISVW:1, Motor Vehicle and Motor Vehicle Part Manufacturing, 231
3, urn:aim:K7EPH2BG1bFdEciC:1, Transport Equipment Manufacturing, 23, urn:aim:yT8UTbdpGn485KhK:1, Other Transport Equipment Manufacturing, 239
3, urn:aim:m81yOAJ7CQnuxi9K:1, Machinery and Equipment Manufacturing, 24, urn:aim:rxIMtrvta8HHBA0X:1, Professional and Scientific Equipment Manufacturing, 241
3, urn:aim:m81yOAJ7CQnuxi9K:1, Machinery and Equipment Manufacturing, 24, urn:aim:qMvTEbo0bVZJNAAJ:1, Computer and Electronic Equipment Manufacturing, 242
3, urn:aim:m81yOAJ7CQnuxi9K:1, Machinery and Equipment Manufacturing, 24, urn:aim:dicSWNvP6qxWhTPR:1, Electrical Equipment Manufacturing, 243
3, urn:aim:m81yOAJ7CQnuxi9K:1, Machinery and Equipment Manufacturing, 24, urn:aim:sWNivoi0HwAOftbT:1, Domestic Appliance Manufacturing, 244
3, urn:aim:m81yOAJ7CQnuxi9K:1, Machinery and Equipment Manufacturing, 24, urn:aim:r7OJJ8hB5BDxoQUA:1, Pump, Compressor, Heating and Ventilation Equipment Manufacturing, 245
3, urn:aim:m81yOAJ7CQnuxi9K:1, Machinery and Equipment Manufacturing, 24, urn:aim:sbGhJrcMuGYgfPZT:1, Specialised Machinery and Equipment Manufacturing, 246
